seed,sample,method,ari,nmi,n_clusters,res
3,1DPI,SpatialDomainAE,0.5371539157745291,0.7208010329894209,9,0.3
3,1DPI,SpatialGATAE,0.534140477215147,0.7220254614119282,9,0.3
3,1DPI,ExprOnlyAE,0.5377837930543146,0.7221310961612492,8,0.3
3,3DPI,SpatialDomainAE,0.6838499181321084,0.8026208914007498,13,0.5
3,3DPI,SpatialGATAE,0.7156443095093407,0.807283986307983,14,0.5
3,3DPI,ExprOnlyAE,0.71722161077314,0.8147884908447734,17,1.0
3,7DPI,SpatialDomainAE,0.6576032205119198,0.7666538536025965,10,0.3
3,7DPI,SpatialGATAE,0.6260613899011254,0.7681805013334408,9,0.3
3,7DPI,ExprOnlyAE,0.6212991653215483,0.7612184961250547,9,0.3
3,Ctrl,SpatialDomainAE,0.6148841196541197,0.7436870197029957,12,0.5
3,Ctrl,SpatialGATAE,0.6183384615781107,0.7447963371548109,11,0.3
3,Ctrl,ExprOnlyAE,0.6290050799749812,0.751207079887057,12,0.5
4,1DPI,SpatialDomainAE,0.5474120021563835,0.7302188569019572,10,0.3
4,1DPI,SpatialGATAE,0.5224990493861693,0.7139670850707779,9,0.3
4,1DPI,ExprOnlyAE,0.5648694498991774,0.7416743685296324,10,0.5
4,3DPI,SpatialDomainAE,0.7152051621269943,0.811703318845492,14,0.5
4,3DPI,SpatialGATAE,0.6896258628328806,0.8024757886401858,13,0.5
4,3DPI,ExprOnlyAE,0.7142525771941103,0.8069227116346288,17,1.0
4,7DPI,SpatialDomainAE,0.5934384326881542,0.7569979567460183,15,0.5
4,7DPI,SpatialGATAE,0.5940561766043208,0.7642716331989127,17,0.8
4,7DPI,ExprOnlyAE,0.594161522071508,0.7512875585987955,11,0.5
4,Ctrl,SpatialDomainAE,0.6045151237235192,0.7410781506008834,11,0.3
4,Ctrl,SpatialGATAE,0.6215456178415977,0.7454548630747186,11,0.3
4,Ctrl,ExprOnlyAE,0.6530270998912261,0.763574593798288,11,0.3
5,1DPI,SpatialDomainAE,0.5625816466698376,0.7426476478418513,10,0.3
5,1DPI,SpatialGATAE,0.5447345552560303,0.7155945303008164,9,0.3
5,1DPI,ExprOnlyAE,0.5437338053857342,0.7226373510881795,10,0.5
5,3DPI,SpatialDomainAE,0.742539722984328,0.8146500774008553,15,0.5
5,3DPI,SpatialGATAE,0.6664853814831287,0.7929619166262837,13,0.5
5,3DPI,ExprOnlyAE,0.6965616114458408,0.79210016754316,15,0.8
5,7DPI,SpatialDomainAE,0.5688646886904364,0.7467544516427326,11,0.3
5,7DPI,SpatialGATAE,0.6154486664748139,0.7844945688054907,20,1.0
5,7DPI,ExprOnlyAE,0.6378447106990855,0.7582921375304682,12,0.5
5,Ctrl,SpatialDomainAE,0.6690411276178029,0.7615549290715691,12,0.3
5,Ctrl,SpatialGATAE,0.6209300610998255,0.7451149367372194,11,0.3
5,Ctrl,ExprOnlyAE,0.618995669030316,0.7464666846631436,15,0.8
6,1DPI,SpatialDomainAE,0.55240817212054,0.7314657819974727,9,0.3
6,1DPI,SpatialGATAE,0.5494890817516664,0.7301061528308683,9,0.3
6,1DPI,ExprOnlyAE,0.5459455176525728,0.726247329441828,11,0.5
6,3DPI,SpatialDomainAE,0.7272814365933862,0.8056730530094568,15,0.5
6,3DPI,SpatialGATAE,0.6671007255195675,0.7986971560149775,14,0.5
6,3DPI,ExprOnlyAE,0.7527394486816631,0.8176504127644488,14,0.8
6,7DPI,SpatialDomainAE,0.672269658889551,0.7734993614413815,13,0.5
