seed,sample,method,ari,nmi,n_clusters,res,sec
2,151509,SpaGCN,0.2576081958909203,0.43472555655357636,8,0.3,46.4
2,151510,STAGATE,0.18454768167128083,0.4090079541824118,12,0.3,20.1
2,151510,GraphST,0.36726046742041313,0.49324663619825576,7,0.5,42.3
2,151510,SpaGCN,0.23231991652944955,0.38624576809499994,8,0.3,54.1
2,151669,STAGATE,0.13191331022662295,0.4166562146592695,14,0.3,14.1
2,151669,GraphST,0.3442138361650396,0.44668171671054124,3,0.3,30.4
2,151669,SpaGCN,0.22291523558237816,0.3698484144880812,6,0.3,33.5
2,151670,STAGATE,0.13631881809986715,0.40296106550036787,11,0.3,13.4
2,151670,GraphST,0.30430972469586925,0.4850670629972747,8,0.8,30.5
2,151670,SpaGCN,0.13495158534933294,0.2813501083989753,10,0.5,29.1
2,151671,STAGATE,0.18855176672682383,0.4134084669366157,12,0.3,16.3
2,151671,GraphST,0.3650878447098975,0.4184278627090507,6,0.5,35.0
2,151671,SpaGCN,0.2330674588540914,0.35416465909577266,7,0.3,46.9
2,151672,STAGATE,0.24459379482400675,0.46002437685865377,12,0.3,14.8
2,151672,GraphST,0.3027018958611495,0.34547579121739797,5,0.5,32.7
2,151672,SpaGCN,0.20832775520105068,0.3581214384253929,9,0.3,41.2
2,151673,STAGATE,0.23493875703084469,0.48460567622153455,17,0.5,15.1
2,151673,GraphST,0.3314013866047898,0.474083831622988,6,0.5,30.4
2,151673,SpaGCN,0.2999042143098011,0.4522161663860354,8,0.5,33.2
2,151674,STAGATE,0.2595864815166229,0.4454767623275513,12,0.3,15.3
2,151674,GraphST,0.3379399665473721,0.4448551402431547,6,0.3,27.0
2,151674,SpaGCN,0.2800057857985267,0.3401761768230092,6,0.3,39.6
2,151675,STAGATE,0.260672846000007,0.46067419278763755,12,0.3,14.4
2,151675,GraphST,0.3504067563440511,0.4652033764806235,8,0.8,26.1
2,151675,SpaGCN,0.3344669170120174,0.4194025758097644,7,0.3,31.1
2,151676,STAGATE,0.2567278706059121,0.4630853339803099,11,0.3,12.9
2,151676,GraphST,0.3073035296777971,0.43484981787781163,6,0.5,26.8
2,151676,SpaGCN,0.29141348290739827,0.40714606579106616,7,0.3,35.2
