seed,sample,variant,n_feat_edges,ari,nmi,n_clusters,res,sec
6,7DPI,dist_matched,51920,0.6237429937418879,0.7550390960592606,14,0.8,14.3
6,7DPI,spatial_only,0,0.6611162002574951,0.7682843371895546,12,0.8,11.2
6,Ctrl,full,48340,0.5699484943797167,0.7066289482380642,11,0.5,13.4
6,Ctrl,prune_lr,24191,0.5587279500660812,0.7102748305805154,15,0.8,13.7
6,Ctrl,local_feat,48340,0.5555721159507331,0.7132791878419422,14,0.8,13.8
6,Ctrl,rand_feat,48340,0.5598638204885588,0.706055608496403,14,0.8,14.1
6,Ctrl,dist_matched,48340,0.545759291328808,0.6996715773784976,9,0.5,14.0
6,Ctrl,spatial_only,0,0.5595371084377418,0.7159931646347103,15,0.8,12.2
7,1DPI,full,51740,0.5182797890436344,0.6908475553952702,10,0.5,15.7
7,1DPI,prune_lr,25870,0.48554613644546407,0.682256689661363,10,0.5,15.9
7,1DPI,local_feat,51740,0.5074561346692025,0.6812329007951072,9,0.5,14.4
7,1DPI,rand_feat,51740,0.5028829798860048,0.6930021905973671,22,1.5,15.5
7,1DPI,dist_matched,51740,0.5107585631303649,0.6957757639944321,9,0.5,14.1
7,1DPI,spatial_only,0,0.5011559760942785,0.6793420331166985,9,0.5,11.1
7,3DPI,full,51460,0.7243223475487265,0.8047328768036484,15,0.8,15.5
7,3DPI,prune_lr,25812,0.7094410981680296,0.7929375221175966,14,0.8,14.6
7,3DPI,local_feat,51460,0.7140023593246373,0.7883231868100832,14,0.8,13.9
7,3DPI,rand_feat,51460,0.7011688201078679,0.7818499587777574,14,0.8,15.0
7,3DPI,dist_matched,51460,0.7259486001530416,0.7979307607066664,15,1.0,14.0
7,3DPI,spatial_only,0,0.7063537250780385,0.7892143013923716,14,0.8,10.0
7,7DPI,full,51920,0.6338566147456532,0.7639528549469959,14,0.8,14.6
7,7DPI,prune_lr,26053,0.6090517949347016,0.7494710050787723,12,0.8,14.1
7,7DPI,local_feat,51920,0.6200433573397991,0.7534245932236375,14,0.8,14.6
7,7DPI,rand_feat,51920,0.6337517426753528,0.7563227472640804,13,0.8,15.3
7,7DPI,dist_matched,51920,0.6344776853810256,0.7518677557296345,13,0.8,16.2
7,7DPI,spatial_only,0,0.6538052183676561,0.7615021447625989,13,0.8,12.5
7,Ctrl,full,48340,0.5550172545498122,0.6929668270197259,10,0.5,14.6
7,Ctrl,prune_lr,24191,0.5580327233292686,0.7094642260390479,10,0.5,14.1
7,Ctrl,local_feat,48340,0.5831226876844596,0.7180446757713441,11,0.5,14.3
7,Ctrl,rand_feat,48340,0.5548566464149299,0.7164671975152692,17,1.0,13.9
7,Ctrl,dist_matched,48340,0.5873466073305094,0.722780180288252,11,0.5,13.7
7,Ctrl,spatial_only,0,0.5465785520219719,0.6851232387059663,10,0.5,10.4
8,1DPI,full,51740,0.5136751896853398,0.6790133455420415,10,0.5,14.8
8,1DPI,prune_lr,25870,0.508142845043245,0.68614987548731,17,1.0,14.1
8,1DPI,local_feat,51740,0.4915700020756444,0.6824319233252262,8,0.3,14.6
8,1DPI,rand_feat,51740,0.4879150713836021,0.6714394591511952,17,1.0,15.6
8,1DPI,dist_matched,51740,0.5070524083486216,0.6855875047589717,16,1.0,16.1
8,1DPI,spatial_only,0,0.5217702422048179,0.6913751913917082,12,0.8,11.4
8,3DPI,full,51460,0.7375703963932871,0.8040599112165739,15,1.0,15.2
8,3DPI,prune_lr,25812,0.7115415471080329,0.794283410490891,15,0.8,14.5
8,3DPI,local_feat,51460,0.7209263632427729,0.7962461690952674,15,0.8,14.3
8,3DPI,rand_feat,51460,0.6880320056978759,0.7957442442698981,12,0.5,15.6
8,3DPI,dist_matched,51460,0.6961482268375441,0.7825707491120562,15,0.8,13.7
8,3DPI,spatial_only,0,0.687157801613567,0.7801734184359809,13,0.8,10.6
8,7DPI,full,51920,0.6516790763196042,0.7691534162892735,13,0.8,16.4
8,7DPI,prune_lr,26053,0.6397556281851089,0.7644937321037809,13,0.8,14.2
8,7DPI,local_feat,51920,0.6204205043067322,0.7532521513611299,10,0.5,13.7
8,7DPI,rand_feat,51920,0.6486597807777899,0.7716815539515655,14,0.8,14.3
8,7DPI,dist_matched,51920,0.658288536209031,0.775733441289469,15,1.0,14.3
8,7DPI,spatial_only,0,0.610772009869672,0.7476388648044238,10,0.5,11.0
8,Ctrl,full,48340,0.5785684919890803,0.7128719993202385,11,0.5,14.1
